Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DameHeight,YearComissioned,Retrofit,lon,lat,projectID,YearDecommissioning
Bio 185,Bioenergy,OCGT,CHP,DE,0.1,,,,,20.03.1997,,12.80352123,50.92368091,{'JRC': ['00000']},
Bio 186,Bioenergy,OCGT,CHP,DE,1.467,,,,,01.04.1997,,13.47578167,54.3609255,{'JRC': ['00000']},
Bio 187,Bioenergy,OCGT,CHP,DE,0.308,,,,,11.04.1997,,9.808197945,53.43454083,{'JRC': ['00000']},
Bio 188,Bioenergy,OCGT,CHP,DE,1.233,,,,,25.04.1997,,12.02554862,50.76263511,{'JRC': ['00000']},
Bio 189,Bioenergy,OCGT,CHP,DE,0.252,,,,,28.04.1997,,10.72961866,51.44105513,{'JRC': ['00000']},
Bio 190,Bioenergy,OCGT,CHP,DE,0.25,,,,,07.05.1997,,7.098000553,51.60925788,{'JRC': ['00000']},
Bio 191,Bioenergy,OCGT,CHP,DE,0.12,,,,,07.05.1997,,7.098000553,51.60925788,{'JRC': ['00000']},
Bio 192,Bioenergy,OCGT,CHP,DE,0.03,,,,,12.05.1997,,11.21348846,47.78369318,{'JRC': ['00000']},
Bio 193,Bioenergy,OCGT,CHP,DE,0.08,,,,,28.05.1997,,12.82437965,48.63965892,{'JRC': ['00000']},
Bio 194,Bioenergy,OCGT,CHP,DE,0.605,,,,,01.06.1997,,10.61773163,53.92871343,{'JRC': ['00000']},
Bio 195,Bioenergy,OCGT,CHP,DE,0.469,,,,,03.06.1997,,6.795575755,49.95700338,{'JRC': ['00000']},
Bio 196,Bioenergy,OCGT,CHP,DE,0.007,,,,,12.06.1997,,12.39316406,49.49684765,{'JRC': ['00000']},
Bio 197,Bioenergy,OCGT,CHP,DE,0.022,,,,,01.07.1997,,10.41777849,47.7745875,{'JRC': ['00000']},
Bio 198,Bioenergy,OCGT,CHP,DE,0.4,,,,,03.07.1997,,7.499396179,50.00601415,{'JRC': ['00000']},
Bio 199,Bioenergy,OCGT,CHP,DE,0.215,,,,,03.07.1997,,7.499396179,50.00601415,{'JRC': ['00000']},
Bio 200,Bioenergy,OCGT,CHP,DE,0.38,,,,,09.07.1997,,6.731484013,49.7711712,{'JRC': ['00000']},
Bio 201,Bioenergy,OCGT,CHP,DE,0.307,,,,,22.07.1997,,11.24704295,53.57834853,{'JRC': ['00000']},
Bio 202,Bioenergy,OCGT,CHP,DE,0.044,,,,,29.07.1997,,11.42073007,49.90626755,{'JRC': ['00000']},
